992
"Un Moyen Age","Middle Age"
"Glisser","to slip"
"Atteindre","to reach"
"Flagrant de/lit","Red Handed"
"Voler","To Steal"
"Le Vol","Theft"
"Vol a\ l'e/talage","Shoplifting"
"voleur","Thief"
"bureau","office"
"fouiller","to search"
"Affole/e","Upset"
"Au bord des larmes","Close to Tears"
"e/ducation","Upbringing"
"e/ducation","education"
"ne gue\re","scarcely"
"cache/","To hide"
"la de/ception","dissapointment"
"e^tre de/c5u","To be dissapointed"
"de/cevoir","to be dissapointed"
"e/coeure/","heartbroken"
"un vitrail","Window"
"des Vitraux","Some windows"
"Brasserie","Brewery"
"un e/tang","pond or fisherie"
"un immeuble","Block of Flats"
"un apartement","flat"
"chasse/e","to hunt"
"concubin","sexual partner"
"errer","to wander"
"formation","educational training"
"un abri","shelter"
"un sans-abri","a homeless person"
"des sans-abri","some homeless people"
"compter","to be sure"
"fous le camp","piss off"
"du premier coup","the first try"
"someille/","dozed"
"faire le manche","busking"
"serpilliere","floor cloth"
"une goutte","drip"
"en","of it/them"
"une casserole","saucepan"
"poe^le","frying pan"
"la proprete/","cleanliness"
"plusieurs","several"
"une pie\ce de/tache/e","spare parts"
"abonne/","subscribe"
"un e/vier","a sink"
"e/couter","to sink"
"une boussole","compass"
"un de/file/","a procession"
"il s'agit de","whats it about"
"un rideau(x)","curtain(s)"
"un volet","shutter"
"un drap","sheet"
"un oreiller","pillow"
"malgre/","in spite of"
"citadine","city dweller"
"singe","monkey"
"entendre","hear"
"un soumarin","submarine"
"maladroit(e)","clumsy"
"l'entasser","to accumulate etc"
"on essaie","people try"
"pare-chocs","bumper"
"un me\tres carre/s","metre square"
"le mieux que tu puisses faire","the best thing that you can do"
"si","such with adjective"
"tel(LES)","such without adjective"
"emprunter","borrow"
"le cre/dir","loan"
"la compagnie de cre/dit","building society"
"pre/voir","forsee"
"s'aggraver","to get worse"
"un re/cit","an account"
"un mendiant","a beggar"
"mendier","to beg"
"montre","a watch"
"selon","according to"
"la dot","dowry"
"une sorciere\","witch"
"un sorcier","wizard"
"fla^ner","to stroll"
"un pas","a footstep"
"arte\re","artery"
"se diriger vers","to direct oneself towards"
"une cinquantaine","about 50"
"grisonnants","greying"
"aborder","to confront"
"bavarder","to chat"
"gifler","to slap"
"une station thermale","spa town"
"il vaudra","it will be"
"un horlage","a clock"
"assister a\","to be present at"
"se mefier","to distrust"
"un rhume","a cold"
"J'ai un petit creux","i'm a bit hungry"
"une bu^che de Noe:l","a yule log"
"un gars","a bloke"
"SDF sans domicites fixe","homeless (official)"
"tie\de","damp"
"de/porboiller","to wash"
"se remettre","to get better"
"la fabrique","a factory"
"outre","added to"
"un chandail","cardigan"
"avoir peur de","be afraid of"
"la petrole","crude oil"
"raye/","striped"
"e/mail","enamel"
"un e/cureuil","a squirrel"
"nu(e)","naked"
"mener","to lead"
"emmener","to take it away"
"insonorise/","sound proofed"
"le taux de","the rate of"
"naissance","birth rate"
"mortalite/","death rate"
"le barrage","a dam"
"s'en aller","to go away"
"je m'en vais","I'm off"
"le chemin","the way"
"livrer","to deliver"
"la poussie\re","dust"
"les HLM -habitation a\ layer mode/re/","council houses"
"un courant d'air","a current of air"
"dont","of which"
"point final","full stop"
"or","now"
"soutenir","to support"
"un bouc e/missaire","a scape goat"
"jurer","to swear"
"une moquette","fitted carpet"
"e/troit","narrow"
"un fauteuil","armchair"
"un sou","a small coin"
"un re^ve","a dream"
"re^ver","to dream"
"une voiture d'occasion","second hand car"
"svelte","slim"
"subventionner","subsidise"
"la classeur","folder"
"la grammaire","grammar"
"le vocabulaire","vocabulary"
"les devoirs","homework"
"un vendeur","male shop assistant"
"une vendeuse","female shop assistant"
"une veille femme","an old womam"
"un grand magasin","deapartment store"
"supermarche/","supermarket"
"hypermarche/","hypermarket"
"debout","upright"
"s'occuper de","to look after"
"rayon","shelf or department"
"ranger","to stach"
"une quincaillerie","hardware store"
"un e/tiquette","label"
"caisse","till"
"voison","male neighbour"
"voisine","female neighbour"
"un mot","a word"
"une parole","a spoken word"
"tous le jours / chaque jour","every day"
"quotidien","dayly"
"voir","to see"
"monde","world"
"les gens","people"
"ne pas","not"
"ne rien","nothing"
"ne jamais","never"
"ne plus","no more"
"ne personne","nobody"
"ne que","only"
"n'importe ...","any ..."
"le savon","soap"
"d'epingles","pins"
"bourru(e)","bad tempered"
"creve/(e)","worn out"
"surmene^(e)","overworked"
"plaire","to please"
"e/mu(e)","touched"
"les annonces","announcements"
"la soie","silk"
"shampooing","shampoo"
"presque","almost"
"rancune","spite"
"compter","to count"
"dame","lady"
"une tasse de","a glass off"
"la tartine","toast"
"la confiture","jam"
"fiche","Official document"
"une bibliothe\que","library"
"une libraire","bookshop"
"un(e) libraire","bookseller"
"devinez","guess"
"consacrer","sacriice"
"pre^ts","ready"
"devenir","to become"
"le quartier","district"
"entre","between"
"le plat","dish"
"du poulet","some chicken"
"le riz","rice"
"les legumes","vegetables"
"equipe","team"
"ecole","school"
"grande ecole","Oxford School"
"un concours","competetive exam"
"un jeu(x)","game(s)"
"salle","room"
"flipper","pinball"
"te/le/jeux","video games"
"de nous jours","nowadays"
"genre","type"
"l'entrai^nement","training"
"souhaitent","would like to"
"s'entrainer","to train"
"le stade","stadium"
"coins","corners"
"nage/","swim"
"paraissant","appears"
"un endro^it","a place"
"faire la vaiselle","washing up"
"le fer","iron"
"un fer a\ repasser","ironing"
"passer l'aspirateur","hoovering"
"l'acier","steel"
"bricoler","DIY"
"faire le cuisine","cooking"
"faire le lessive","washing clothes"
"aller a\ l'e/trange","travelling abroad"
"le feu d'artifice","fireworks"
"le feu","fire"
"un feu de joie","bonfire"
"un vieux","an old man"
"un vieil ami","an old freind"
"la messe","mass"
"le SIDA","AIDS"
"timbres","stamps"
"champignon","mushrooms"
"une enque^te","an interview"
"mi temps","half time"
"un lieu public","a public place"
"les lieux public","public places"
"les quais","platforms"
"wagon","train bit"
"on devrait","one should"
"fumer","to smoke"
